id,eng_word,pl_word,score
976,organisation,organizacja,4.36
977,sue,pozywać,4.22
978,impact,wpływ,4.92
979,strength,siła,4.8
980,conflict,konflikt,4.64
981,minority,mniejszości,4.41
982,humor,humor,4.19
983,leonard,leonard,4.01
984,businesses,firmy,4.66
985,artistic,artystyczny,4.17
986,differences,różnice,4.52
987,operation,działanie,4.92
988,murphy,murphy,4.13
989,gorgeous,wspaniały,4.35
990,cookies,ciasteczka,4.12
991,agents,agenci,4.55
992,acquire,nabywać,4.13
993,led,oświetlenie LED,5.11
994,communications,komunikacja,4.59
995,targets,cele,4.29
996,plans,plany,5.01
997,received,otrzymał,5.16
998,competition,konkurencja,4.91
999,wonder,cud,4.93
1000,growing,rosnący,4.94
1001,evans,evans,4.22
1002,mud,błoto,4.13
1003,demands,żądania,4.41
1004,moderate,umiarkowany,4.27
1005,opponents,przeciwnicy,4.23
1006,probability,prawdopodobieństwo,4.02
1007,trying,próbowanie,5.47
1008,moore,Moore,4.28
1009,soldiers,żołnierze,4.7
1010,tell,powiedzieć,5.53
1011,poet,poeta,4.21
1012,list,lista,5.28
1013,affairs,sprawy,4.67
1014,allow,pozwolić,5.01
1015,essays,eseje,4.08
1016,fantasy,fantazja,4.52
1017,brands,marki,4.32
1018,fell,spadł,4.85
1019,denver,Denver,4.23
1020,shall,powinien,5.03
1021,destruction,zniszczenie,4.36
1022,links,linki,4.72
1023,exists,istnieje,4.48
1024,clock,zegar,4.43
1025,unlikely,mało prawdopodobne,4.31
1026,excellent,doskonały,4.73
1027,workout,trening,4.02
1028,ham,szynka,4.12
1029,companies,firmy,5.18
1030,methods,metody,4.68
1031,pizza,pizza,4.43
1032,electric,elektryczny,4.72
1033,matter,kwestia,5.38
1034,smaller,mniejszy,4.8
1035,element,element,4.46
1036,santa,Mikołaj,4.49
1037,roger,zrozumiałem,4.39
1038,mostly,głównie,4.83
1039,beyond,poza,4.98
1040,assisted,wspomagany,4.1
1041,performed,wykonany,4.68
1042,quarter,kwartał,4.72
1043,religion,religia,4.74
1044,november,listopad,5.1
1045,neighbors,sąsiedzi,4.24
1046,lobby,hol,4.03
1047,jimmy,jimmy,4.44
1048,measure,miara,4.65
1049,parallel,równoległy,4.27
1050,highest,najwyższy,4.86
1051,wallace,Wallace,4.05
1052,concert,koncert,4.55
1053,show,pokaż,5.68
1054,favorites,ulubione,4.02
1055,climate,klimat,4.71
1056,comfort,wygoda,4.41
1057,painful,bolesny,4.32
1058,birds,ptaki,4.6
1059,register,zarejestruj się,4.59
1060,letters,litery,4.66
1061,jones,Jones,4.73
1062,divisions,działy,4.11
1063,younger,młodszy,4.69
1064,spin,spin,4.38
1065,innocent,niewinny,4.45
1066,staff,personel,5.08
1067,wooden,drewniane,4.33
1068,mineral,mineral,4.03
1069,centuries,wieki,4.32
1070,array,tablica,4.1
1071,wanna,chcę,5.04
1072,floors,podłogi,4.04
1073,treatment,leczenie,5.01
1074,beneath,pod,4.24
1075,love,miłość,5.82
1076,allows,pozwala,4.67
1077,desired,pożądany,4.16
1078,publish,opublikować,4.1
1079,despite,pomimo,5.0
1080,infrastructure,infrastruktura,4.46
1081,dinner,kolacja,4.78
1082,using,używając,5.47
1083,feeding,karmienie,4.28
1084,anymore,już,4.94
1085,thy,twój,4.11
1086,commit,zobowiązać się,4.33
1087,natural,naturalny,5.11
1088,denied,odmowa,4.43
1089,mississippi,Missisipi,4.19
1090,america,Ameryka,5.22
1091,exercises,ćwiczenia,4.12
1092,advantages,zalety,4.1
1093,headline,nagłówek,4.03
1094,cotton,bawełna,4.35
1095,brooks,strumyki,4.04
1096,premiere,premiera,4.16
1097,clients,klienci,4.45
1098,revealed,ujawnione,4.65
1099,featuring,przedstawiający,4.45
1100,fabulous,fantastyczny,4.08
1101,interviews,wywiady,4.36
1102,nobody,nikt,4.95
1103,helps,pomaga,4.74
1104,voltage,napięcie,4.02
1105,hunt,polowanie,4.49
1106,rice,ryż,4.55
1107,judicial,sądowy,4.14
1108,marks,znaki,4.49
1109,better,lepiej,5.76
1110,nhl,NHL,4.02
1111,provided,zapewniony,5.02
1112,adopted,przyjęty,4.51
1113,precise,precyzyjny,4.13
1114,almost,prawie,5.39
1115,liked,podobało się,4.76
1116,liquid,płyn,4.39
1117,demanding,wymagający,4.13
1118,rest,odpoczynek,5.23
1119,duck,kaczka,4.21
1120,ancient,starożytny,4.68
1121,increased,zwiększone,4.91
1122,launched,uruchomiono,4.63
1123,orders,zamówienia,4.73
1124,permitted,dozwolone,4.13
1125,separated,oddzielony,4.3
1126,issue,wydanie,5.23
1127,rely,polegać,4.29
1128,poster,plakat,4.19
1129,promoting,promowanie,4.28
1130,achieving,osiągnięcie,4.03
1131,meals,posiłki,4.19
1132,elections,wybory,4.66
1133,success,sukienka,5.06
1134,investment,inwestycja,4.84
1135,october,październik,5.11
1136,ensure,zapewnić,4.7
1137,reflects,odzwierciedla,4.11
1138,visible,widoczny,4.39
1139,experts,eksperci,4.52
1140,amateur,amator,4.22
1141,discover,odkryj,4.39
1142,incident,zdarzenie,4.54
1143,manner,sposób,4.55
1144,became,stał się,5.15
1145,opens,otwiera,4.43
1146,southwest,południowy zachód,4.1
1147,compliance,zgodność,4.17
1148,benefits,korzyści,4.84
1149,sentence,zdanie,4.58
1150,menu,menu,4.26
1151,sounds,dźwięki,4.97
1152,plug,wtyczka,4.14
1153,problems,problemy,5.19
1154,muscle,mięsień,4.44
1155,jake,jake,4.17
1156,biological,biologiczny,4.31
1157,eastern,wschodni,4.78
1158,attempts,próby,4.5
1159,component,element,4.32
1160,carrying,przenoszenie,4.61
1161,moral,moralny,4.46
1162,buildings,budynki,4.69
1163,deeply,głęboko,4.44
1164,devices,urządzenia,4.59
1165,reports,raporty,4.9
1166,laura,laura,4.24
1167,quantity,ilość,4.07
1168,touched,dotknięte,4.3
1169,reminder,przypomnienie,4.12
1170,degrees,stopnie,4.54
1171,elected,wybrany,4.63
1172,story,opowieść,5.45
1173,orientation,orientacja,4.05
1174,refugees,uchodźcy,4.26
1175,brooklyn,Brooklyn,4.25
1176,explaining,wyjaśnianie,4.23
1177,collar,kołnierz,4.04
1178,forgotten,zapomniane,4.4
1179,therefore,dlatego,4.87
1180,effects,efekty,4.89
1181,crazy,szalony,5.07
1182,memories,wspomnienia,4.5
1183,garden,ogród,4.77
1184,towns,miasta,4.39
1185,manufacturing,produkcja,4.56
1186,intellectual,intelektualny,4.3
1187,mitchell,Mitchell,4.24
1188,videos,filmy,4.79
1189,cancer,rak,4.93
1190,acceptable,akceptowalny,4.27
1191,effort,wysiłek,4.92
1192,singer,piosenkarz,4.52
1193,hundred,setka,4.71
1194,client,klient,4.54
1195,lbs,funt,4.06
1196,monitor,monitor,4.37
1197,for,dla,7.01
1198,orange,pomarańczowy,4.62
1199,laughing,śmiech,4.61
1200,winter,zima,4.89
1201,penalties,kary,4.08
1202,memorial,pomnik,4.41
1203,different,różne,5.59
1204,resort,ośrodek,4.37
1205,frequent,częste,4.27
1206,bubble,bąbel,4.16
1207,brutal,brutalny,4.1
1208,dependent,zależny,4.28
1209,forecast,prognoza,4.09
1210,importantly,co ważne,4.09
1211,wet,mokry,4.54
1212,membership,członkostwo,4.47
1213,boring,nudny,4.43
1214,brick,cegła,4.25
1215,den,pokój,4.01
1216,donald,Donald,4.46
1217,cards,karty,4.76
1218,savage,savage,4.05
1219,comic,komiks,4.42
1220,sells,sprzedaje,4.09
1221,foundation,fundacja,4.81
1222,lots,partie,4.88
1223,sale,wyprzedaż,4.99
1224,minimal,minimalistyczny,4.11
1225,down,awaria,5.88
1226,gas,paliwo,5.01
1227,think,myśl,6.08
1228,candy,cukierki,4.29
1229,useful,przydatne,4.72
1230,phenomenon,zjawisko,4.13
1231,arranged,aranżacja,4.31
1232,fiscal,fiskalny,4.26
1233,compare,porównaj,4.45
1234,trial,próba,4.87
1235,edit,edytuj,4.3
1236,bankruptcy,upadłość,4.11
1237,flexibility,elastyczność,4.02
1238,ethical,etyczny,4.07
1239,wife,żona,5.23
1240,chelsea,chelsea,4.35
1241,alert,alert,4.33
1242,timing,wyczucie czasu,4.29
1243,map,mapa,4.76
1244,investigated,zbadane,4.14
1245,decision,decyzja,5.09
1246,hearing,słyszenie,4.82
1247,plate,tablica,4.55
1248,north,północ,5.34
1249,rewards,nagrody,4.1
1250,creation,tworzenie,4.56
1251,maryland,Maryland,4.27
1252,ourselves,my sami,4.62
1253,trailer,zwiastun,4.32
1254,submit,prześlij,4.28
1255,diving,nurkowanie,4.02
1256,wherever,gdziekolwiek,4.27
1257,roads,drogi,4.55
1258,blocking,blokowanie,4.12
1259,controlled,kontrolowany,4.59
1260,attraction,atrakcja,4.11
1261,directions,wskazówki dojazdu,4.23
1262,delhi,Delhi,4.29
1263,building,budynek,5.29
1264,fairly,dość,4.5
1265,towers,wieże,4.02
1266,ceiling,sufit,4.18
1267,just,tylko,6.43
1268,action,akcja,5.25
1269,battery,bateria,4.52
1270,affair,romans,4.3
1271,priorities,priorytety,4.06
1272,faculty,wykładowcy,4.32
1273,purpose,cel,4.88
1274,accounting,księgowość,4.29
1275,discovered,odkryty,4.74
1276,satisfaction,zadowolenie,4.16
1277,polls,ankiety,4.1
1278,flat,płaski,4.72
1279,thanksgiving,Święto Dziękczynienia,4.04
1280,deserve,zasługiwać,4.59
1281,damn,cholera,5.09
1282,graham,graham,4.3
1283,effectiveness,skuteczność,4.05
1284,pills,cukierki,4.05
1285,although,chociaż,5.3
1286,ethics,etyka,4.19
1287,owner,właściciel,4.83
1288,motor,silnik,4.53
1289,bread,chleb,4.5
1290,artist,artysta,4.8
1291,relief,ulga,4.55
1292,often,często,5.41
1293,admission,przyznanie,4.15
1294,satisfied,zadowolony,4.28
1295,rental,wynajem,4.1
1296,follow,śledź,5.14
1297,similarly,podobnie,4.3
1298,settled,osiedlony,4.44
1299,wind,wiatr,4.84
1300,min,min,4.42
1301,blocks,bloki,4.43
1302,reverse,odwrócić,4.37
1303,netherlands,Holandia,4.28
1304,does,czy,5.74
1305,else,inny,5.38
1306,successful,udany,4.94
1307,parent,rodzic,4.57
1308,horror,horror,4.43
1309,van,furgonetka,4.78
1310,differently,inaczej,4.23
1311,premises,lokale,4.02
1312,feb,luty,4.38
1313,island,wyspa,5.01
1314,following,następny,5.46
1315,crew,załoga,4.7
1316,aggressive,agresywny,4.32
1317,magnetic,magnetyczny,4.17
1318,physician,lekarz,4.18
1319,protection,ochrona,4.85
1320,trades,rzemiosło,4.04
1321,chief,szef,5.11
1322,consideration,rozważanie,4.28
1323,nervous,nerwowy,4.42
1324,mood,nastrój,4.44
1325,stores,sklepy,4.63
1326,abstract,streszczenie,4.14
1327,joining,dołączanie,4.47
1328,enforcement,egzekwowanie,4.45
1329,advance,z góry,4.65
1330,rivers,rzeki,4.3
1331,indication,wskazanie,4.06
1332,discovery,odkrycie,4.45
1333,strict,surowy,4.23
1334,eyes,oczy,5.21
1335,additionally,dodatkowo,4.2
1336,styles,style,4.38
1337,puts,opcje sprzedaży,4.53
1338,claimed,zgłoszone,4.64
1339,gene,gen,4.36
1340,pitch,pitch,4.43
1341,orbit,orbit,4.03
1342,carrier,przewoźnik,4.29
1343,she,ona,6.26
1344,approve,zatwierdzić,4.08
1345,save,zapisz,5.14
1346,delivering,dostarczanie,4.09
1347,contacts,kontakty,4.14
1348,mild,łagodny,4.11
1349,tough,wytrzymały,4.77
1350,countries,kraje,5.13
1351,density,gęstość,4.33
1352,largest,największy,4.9
1353,floor,podłoga,4.94
1354,father,ojciec,5.26
1355,affected,dotknięty,4.64
1356,essence,podłogi,4.03
1357,speaks,mówi,4.43
1358,pill,pigułka,4.03
1359,communicate,komunikować się,4.2
1360,construction,budowa,4.97
1361,wright,wright,4.2
1362,changed,zmieniono,5.07
1363,something,coś,5.81
1364,scope,zakres,4.26
1365,spoken,mówione,4.45
1366,finest,najlepszy,4.15
1367,surely,z pewnością,4.55
1368,jesse,jesse,4.04
1369,elsewhere,gdzie indziej,4.46
1370,curious,ciekawostka,4.45
1371,votes,głosy,4.64
1372,preservation,zachowanie,4.01
1373,determination,determinacja,4.16
1374,foods,żywność,4.41
1375,disorders,błędy,4.14
1376,evil,zło,4.74
1377,encouraging,zachęcające,4.14
1378,possible,możliwe,5.36
1379,crash,awaria,4.55
1380,monthly,miesięczny,4.5
1381,tuesday,wtorek,4.63
1382,page,strona,5.12
1383,signature,podpis,4.25
1384,oil,olej,5.1
1385,famous,słynny,4.84
1386,plenty,wiele,4.72
1387,keen,zainteresowany,4.13
1388,clips,klipy,4.04
1389,horizon,horyzont,4.07
1390,production,produkcja,5.14
1391,records,zapisy,4.9
1392,males,mężczyźni,4.21
1393,trusted,zaufany,4.2
1394,snap,chwyt,4.21
1395,personality,osobowość,4.55
1396,avenue,aleja,4.43
1397,replacing,zastępujący,4.15
1398,acknowledged,uznany,4.08
1399,requirement,wymóg,4.26
1400,attendance,frekwencja,4.17
1401,obvious,oczywiste,4.63
1402,scenario,scenariusz,4.19
1403,printed,drukowany,4.4
1404,square,square,4.84
1405,note,notatka,5.04
1406,distinguished,wybitny,4.2
1407,column,kolumna,4.33
1408,leaves,liście,4.79
1409,draws,remisy,4.1
1410,gained,zdobyty,4.49
1411,grown,dorosły,4.67
1412,thats,że,4.52
1413,ways,sposoby,5.06
1414,debut,debiut,4.52
1415,possibly,być może,4.77
1416,practice,praktyka,5.06
1417,demonstrated,wykazany,4.22
1418,lifetime,całe życie,4.39
1419,bought,kupił,4.91
1420,grants,dotacje,4.15
1421,franchise,franczyza,4.29
1422,camps,obozy,4.19
1423,status,status,4.87
1424,smile,uśmiech,4.64
1425,columbus,kolumb,4.04
1426,gate,brama,4.47
1427,thailand,Tajlandia,4.22
1428,kansas,Kansas,4.37
1429,also,również,6.19
1430,when,kiedy,6.37
1431,attempt,próba,4.85
1432,developments,zmiany,4.22
1433,nails,gwoździe,4.04
1434,financial,finansowy,5.08
1435,rolled,zwinięty,4.21
1436,hotel,hotel,4.95
1437,top,góra,5.57
1438,imposed,narzucony,4.16
1439,anyway,w każdym razie,4.91
1440,included,w zestawie,5.03
1441,broken,zepsute,4.88
1442,italy,Włochy,4.66
1443,noise,szum,4.55
1444,shows,pokazuje,5.23
1445,expand,rozszerzać,4.35
1446,identify,zidentyfikować,4.56
1447,guidance,wskazówki,4.33
1448,tragedy,tragedia,4.14
1449,guys,chłopaki,5.41
1450,conditions,warunki,4.98
1451,estate,posiadłość,4.82
1452,detailed,szczegółowe,4.51
1453,buy,kup,5.32
1454,boxing,pakowanie,4.17
1455,chuck,rzucić,4.17
1456,devil,diabeł,4.3
1457,mothers,matki,4.32
1458,running,działający,5.23
1459,pet,zwierzę domowe,4.45
1460,kyle,kyle,4.14
1461,cooper,cooper,4.26
1462,manual,podręcznik,4.32
1463,services,usługi,5.31
1464,wonderful,wspaniały,4.85
1465,photograph,fotografia,4.23
1466,popular,popularne,5.07
1467,accuracy,dokładność,4.24
1468,kind,rodzaj,5.45
1469,harper,harper,4.04
1470,israeli,izraelski,4.4
1471,simply,po prostu,5.08
1472,operates,działa,4.13
1473,watches,ogląda,4.1
1474,sea,morze,5.06
1475,pine,sosna,4.1
1476,government,rząd,5.57
1477,cult,kult,4.09
1478,man,mężczyzna,5.82
1479,son,syn,5.28
1480,duty,obowiązek,4.71
1481,studied,badany,4.49
1482,cited,cytowane,4.29
1483,ate,zjadł,4.34
1484,free,bezpłatny,5.63
1485,restoration,renowacja,4.11
1486,rating,ocena,4.45
1487,people,osoby,6.25
1488,classroom,klasa,4.15
1489,dumb,głupi,4.54
1490,suitable,odpowiedni,4.38
1491,video,film,5.43
1492,load,ładowanie,4.58
1493,israel,Izrael,4.77
1494,coverage,zasięg,4.63
1495,supplement,suplement,4.03
1496,ride,przejażdżka,4.85
1497,alternate,alternatywny,4.11
1498,terrible,straszne,4.71
1499,muscles,mięśnie,4.14
1500,registration,rejestracja,4.32
1501,applicable,zastosowanie,4.13
1502,claim,roszczenie,4.95
1503,bye,pa,4.39
1504,president,prezydent,5.45
1505,inflation,inflacja,4.14
1506,ties,krawaty,4.35
1507,zones,strefy,4.12
1508,heading,nagłówek,4.48
1509,bruce,bruce,4.34
1510,typically,zazwyczaj,4.62
1511,policy,polityka,5.17
1512,offered,oferowane,4.86
1513,latter,później,4.56
1514,replace,zastąpić,4.58
1515,arrangement,układ,4.25
1516,lawrence,Lawrence,4.31
1517,warning,ostrzeżenie,4.59
1518,convenience,wygoda,4.02
1519,healthcare,opieka zdrowotna,4.47
1520,hood,kaptur,4.21
1521,bobby,bobby,4.22
1522,citizenship,obywatelstwo,4.1
1523,thee,ciebie,4.04
1524,rid,rid,4.5
1525,scenes,sceny,4.58
1526,outdoor,na świeżym powietrzu,4.23
1527,one,jeden,6.47
1528,remaining,pozostałe,4.63
1529,categories,kategorie,4.31
1530,pork,wieprzowina,4.03
1531,restaurant,restauracja,4.68
1532,gym,siłownia,4.43
1533,dimension,wymiar,4.02
1534,ends,kończy,4.75
1535,hurricane,huragan,4.1
1536,chairman,przewodniczący,4.8
1537,par,równa,4.15
1538,likely,prawdopodobny,5.2
1539,million,milion,5.33
1540,picking,zbieranie,4.44
1541,watching,oglądanie,5.02
1542,like,jak,6.41
1543,change,zmień,5.54
1544,involving,związany,4.48
1545,doc,dokument,4.36
1546,gathering,zbieranie,4.25
1547,urgent,pilne,4.15
1548,dust,pył,4.41
1549,voluntary,dobrowolny,4.01
1550,capital,kapitał,5.01
1551,rescue,ratownictwo,4.48
1552,always,zawsze,5.76
1553,washing,pranie,4.13
1554,scholars,naukowcy,4.12
1555,constant,stały,4.54
1556,failure,porażka,4.72
1557,poem,wiersz,4.25
1558,cheap,tanie,4.71
1559,happen,wydarzyć się,5.19
1560,slot,slot,4.09
1561,tire,opona,4.02
1562,height,wysokość,4.53
1563,eating,jedzenie,4.85
1564,forest,las,4.7
1565,flows,przepływa,4.14
1566,messages,wiadomości,4.54
1567,george,George,5.04
1568,systems,systemy,5.07
1569,drew,drew,4.46
1570,hunger,głód,4.1
1571,rose,róża,4.82
1572,operate,działać,4.5
1573,fatal,śmiertelny,4.1
1574,youth,młodość,4.75
1575,complex,kompleks,4.86
1576,cancelled,odwołane,4.22
1577,spare,zapasowe,4.28
1578,minnesota,Minnesota,4.31
1579,attached,załączone,4.52
1580,bill,rachunek,5.15
1581,detected,wykryto,4.06
1582,inspired,zainspirowany,4.63
1583,adding,dodawanie,4.67
1584,quote,cytat,4.51
1585,miller,młynarz,4.5
1586,happened,wydarzyło się,5.2
1587,walker,spacerowicz,4.42
1588,windows,okna,4.72
1589,measuring,pomiar,4.07
1590,was,był,6.82
1591,responses,odpowiedzi,4.29
1592,mechanism,mechanizm,4.27
1593,kong,Kong,4.49
1594,ave,średnia,4.04
1595,ward,oddział,4.37
1596,sunny,sunny,4.07
1597,alarm,alarm,4.28
1598,prisoners,więźniowie,4.37
1599,infinite,nieskończony,4.16
1600,installed,zainstalowany,4.4
1601,mary,mary,4.78
1602,coaching,coaching,4.29
1603,bored,znudzony,4.2
1604,mystery,tajemnica,4.45
1605,years,lata,5.96
1606,hired,zatrudniony,4.41
1607,wireless,bezprzewodowy,4.2
1608,recorded,zarejestrowane,4.66
1609,attitude,postawa,4.58
1610,new,nowy,6.25
1611,most,najbardziej,6.0
1612,troops,żołnierze,4.64
1613,meeting,spotkanie,5.15
1614,honest,szczery,4.73
1615,mind,umysł,5.41
1616,dear,drogi,4.77
1617,spaces,przestrzenie,4.28
1618,product,produkt,4.95
1619,section,sekcja,5.0
1620,surgical,chirurgiczny,4.05
1621,upgrade,aktualizacja,4.24
1622,tennessee,Tennessee,4.21
1623,slip,poślizg,4.28
1624,drugs,narkotyki,4.77
1625,von,von,4.17
1626,competing,konkurencja,4.22
1627,differ,różnić się,4.03
1628,complete,kompletny,5.1
1629,buddy,kolega,4.4
1630,dress,sukienka,4.76
1631,housing,mieszkanie,4.77
1632,casual,nieformalny,4.23
1633,realistic,realistyczny,4.16
1634,interested,zainteresowany,4.95
1635,structure,struktura,4.84
1636,way,droga,6.01
1637,angry,zły,4.66
1638,linear,liniowy,4.12
1639,server,serwer,4.46
1640,refer,odnośnik,4.45
1641,cute,słodki,4.65
1642,morning,poranek,5.33
1643,resolved,rozwiązane,4.1
1644,disaster,katastrofa,4.39
1645,cinema,kino,4.17
1646,journalists,dziennikarze,4.29
1647,elder,starszy,4.06
1648,boom,boom,4.33
1649,texas,Teksas,4.89
1650,ranking,ranking,4.19
1651,centers,centra,4.42
1652,philip,Philip,4.28
1653,portfolio,portfel,4.15
1654,exciting,ekscytujący,4.54
1655,draft,projekt,4.61
1656,chose,wybrał,4.55
1657,establishment,zakład,4.42
1658,patrol,patrul,4.14
1659,hoped,miał nadzieję,4.28
1660,seeds,nasiona,4.28
1661,sandy,piaszczysty,4.19
1662,containing,zawierający,4.43
1663,thou,ty,4.16
1664,dam,zapora,4.17
1665,trains,pociągi,4.27
1666,both,oba,5.79
1667,titles,tytuły,4.41
1668,john,John,5.38
1669,marshall,Marshall,4.24
1670,lyrics,teksty piosenek,4.35
1671,seats,miejsca,4.53
1672,combined,połączone,4.68
1673,work,praca,5.96
1674,silk,jedwab,4.11
1675,attract,przyciągać,4.2
1676,aaron,Aaron,4.23
1677,drain,odpływ,4.07
1678,published,opublikowany,5.07
1679,perhaps,być może,5.09
1680,share,udostępnij,5.2
1681,collected,zebrane,4.63
1682,turning,obraca,4.71
1683,manufactured,produkowane,4.13
1684,camera,aparat,4.87
1685,burst,wybuch,4.15
1686,hopefully,miejmy nadzieję,4.56
1687,individuals,osoby,4.81
1688,likewise,podobnie,4.04
1689,paul,paul,5.03
1690,above,powyżej,5.2
1691,retained,zachowane,4.07
1692,reception,recepcja,4.23
1693,zoo,zoo,4.14
1694,visited,odwiedził,4.5
1695,poems,wiersze,4.11
1696,offer,oferta,5.05
1697,cents,centy,4.36
1698,machines,maszyny,4.46
1699,oldest,najstarszy,4.24
1700,enters,wchodzi,4.01
1701,cap,ograniczenie,4.51
1702,grave,grób,4.31
1703,yesterday,wczoraj,4.91
1704,gathered,zebrane,4.27
1705,affordable,przystępny cenowo,4.22
1706,that,że,7.01
1707,concerning,dotyczące,4.31
1708,lost,zagubiony,5.39
1709,decisions,decyzje,4.72
1710,bible,Biblia,4.54
1711,depth,głębokość,4.55
1712,annually,corocznie,4.16
1713,target,cel,4.82
1714,explosion,wybuch,4.22
1715,financing,finansowanie,4.13
1716,your,twój,6.53
1717,shark,rekin,4.1
1718,waste,marnotrawstwo,4.81
1719,define,zdefiniować,4.31
1720,occupied,zajęty,4.32
1721,hong,hong,4.53
1722,classified,sklasyfikowane,4.26
1723,initiatives,inicjatywy,4.02
1724,bernard,bernard,4.02
1725,justify,justify,4.14
1726,foreign,zagraniczny,5.08
1727,unity,jedność,4.22
1728,holder,posiadacz,4.21
1729,mall,centrum handlowe,4.29
1730,typical,typowy,4.59
1731,rogers,rogers,4.09
1732,buses,autobusy,4.02
1733,career,kariera,5.07
1734,powered,zasilane,4.25
1735,timber,drewno,4.01
1736,bbc,bbc,4.57
1737,eliminate,wyeliminować,4.15
1738,volunteers,wolontariusze,4.29
1739,tyler,tyler,4.17
1740,recover,odzyskać,4.29
1741,wondering,zastanawianie się,4.53
1742,odds,kursy,4.28
1743,transfer,przeniesienie,4.72
1744,locations,miejsca,4.46
1745,cos,kos,4.05
1746,wishes,życzenia,4.35
1747,state,stan,5.78
1748,trials,próby,4.32
1749,appeared,pojawiły się,4.83
1750,toward,w kierunku,4.72
1751,harry,Harry,4.72
1752,pulse,puls,4.06
1753,virginia,virginia,4.62
1754,jim,Jim,4.62
1755,combine,kombajn,4.13
1756,carolina,karolina,4.52
1757,veterans,weterani,4.34
1758,attacked,zaatakowany,4.52
1759,thousand,tysiąc,4.64
1760,colin,kolin,4.09
1761,label,etykieta,4.43
1762,dna,DNA,4.49
1763,full,pełny,5.54
1764,unusual,niezwykły,4.45
1765,wanting,chcący,4.49
1766,physics,fizyka,4.39
1767,pleasure,przyjemność,4.57
1768,milwaukee,Milwaukee,4.01
1769,armed,uzbrojony,4.59
1770,stress,stres,4.73
1771,academy,akademia,4.57
1772,jurisdiction,jurysdykcja,4.1
1773,nearly,prawie,5.0
1774,treated,poddany,4.71
1775,together,razem,5.46
1776,freedom,wolność,4.86
1777,ended,zakończone,4.92
1778,shake,wstrząs,4.33
1779,circle,krąg,4.55
1780,average,średnia,5.16
1781,alexander,alexander,4.4
1782,are,są,6.74
1783,clip,klip,4.26
1784,saudi,saudi,4.31
1785,carol,kolęda,4.02
1786,nelson,Nelson,4.24
1787,tension,napięcie,4.22
1788,joins,dołącza,4.04
1789,looking,szukanie,5.57
1790,navy,marynarka wojenna,4.57
1791,lol,lol,5.05
1792,unique,wyjątkowy,4.75
1793,honey,miód,4.37
1794,outcome,wynik,4.35
1795,mathematics,matematyka,4.15
1796,google,Google,4.86
1797,helping,pomoc,4.78
1798,usual,zwykle,4.62
1799,morgan,morgan,4.42
1800,brush,szczotka,4.23
1801,chocolate,czekolada,4.49
1802,pat,pat,4.24
1803,gear,sprzęt,4.46
1804,streams,strumienie,4.12
1805,kennedy,kennedy,4.28
1806,reference,odniesienie,4.74
1807,fake,fałszywy,4.65
1808,equal,równy,4.65
1809,women,kobiety,5.57
1810,worse,gorszy,4.89
1811,custody,opieka,4.22
1812,scored,uzyskany,4.63
1813,losing,przegrywanie,4.85
1814,branch,oddział,4.58
1815,harris,harris,4.44
1816,sources,źródła,4.84
1817,downtown,centrum,4.4
1818,selling,sprzedaż,4.81
1819,http,http,4.81
1820,valley,dolina,4.72
1821,thing,rzecz,5.72
1822,patterns,wzory,4.41
1823,slowly,powoli,4.63
1824,wider,szerszy,4.24
1825,til,til,4.03
1826,crap,bzdury,4.4
1827,joke,żart,4.68
1828,patients,pacjenci,4.91
1829,scottish,szkocki,4.6
1830,contract,umowa,4.94
1831,done,zrobione,5.58
1832,making,tworzenie,5.54
1833,interact,współdziałać,4.05
1834,clearly,wyraźnie,4.92
1835,england,Anglia,5.12
1836,topics,tematy,4.27
1837,suspect,podejrzany,4.51
1838,breakdown,awaria,4.1
1839,reed,trzcina,4.07
1840,payment,płatność,4.66
1841,lover,kochank,4.26
1842,specific,specyficzny,5.03
1843,meanwhile,tymczasem,4.48
1844,forgot,zapomniałem,4.63
1845,notion,pojęcie,4.17
1846,kevin,Kevin,4.56
1847,card,karta,5.04
1848,helpful,przydatne,4.43
1849,mountains,góry,4.5
1850,offensive,obraźliwy,4.46
1851,smallest,najmniejszy,4.01
1852,republicans,republikanie,4.5
1853,applying,zastosowanie,4.24
1854,tired,zmęczony,4.71
1855,bones,kości,4.32
1856,orleans,Orlean,4.21
1857,clark,clark,4.38
1858,columbia,Columbia,4.4
1859,egg,jajko,4.46
1860,inspection,kontrola,4.14
1861,persons,osoby,4.43
1862,bowl,miska,4.63
1863,steam,para,4.52
1864,philosophy,filozofia,4.49
1865,leadership,przywództwo,4.77
1866,temperatures,temperatury,4.33
1867,singh,Singh,4.04
1868,tech,technologia,4.69
1869,tomorrow,jutro,5.02
1870,indicates,wskazuje,4.24
1871,covering,pokrycie,4.45
1872,security,bezpieczeństwo,5.2
1873,labels,etykiety,4.08
1874,disorder,zaburzenie,4.31
1875,inch,cal,4.49
1876,democrats,demokraci,4.54
1877,poetry,poezja,4.4
1878,horse,konie,4.76
1879,forces,siły,4.98
1880,commons,commons,4.14
1881,match,dopasowanie,5.13
1882,make,tworzyć,6.08
1883,bring,przynieść,5.27
1884,circles,kółka,4.13
1885,miss,panna,5.22
1886,punch,cios,4.32
1887,writer,pisarz,4.69
1888,dozen,tuzin,4.35
1889,mrs,pani,4.89
1890,fur,futro,4.03
1891,owen,owen,4.05
